frame.number,frame.time_relative,ip.src,ip.dst,ip.proto,frame.len
"4948","200.022000000","122.13.172.153","10.8.0.2","17","179"
"4949","200.086000000","10.8.0.2","122.13.172.153","17","113"
"4950","200.105000000","122.13.172.153","10.8.0.2","17","158"
"4951","200.165000000","10.8.0.2","122.13.172.153","17","125"
"4952","200.176000000","122.13.172.153","10.8.0.2","17","195"
"4953","200.180000000","10.8.0.2","122.13.172.153","17","406"
"4954","200.190000000","122.13.172.153","10.8.0.2","17","55"
"4955","200.246000000","10.8.0.2","122.13.172.153","17","113"
"4956","200.265000000","122.13.172.153","10.8.0.2","17","190"
"4957","200.328000000","10.8.0.2","122.13.172.153","17","120"
"4958","200.337000000","122.13.172.153","10.8.0.2","17","192"
"4959","200.398000000","10.8.0.2","122.13.172.153","17","101"
"4960","200.421000000","122.13.172.153","10.8.0.2","17","197"
"4961","200.430000000","10.8.0.2","103.97.83.153","6","180"
"4962","200.432000000","103.97.83.153","10.8.0.2","6","68"
"4963","200.445000000","103.97.83.153","10.8.0.2","6","116"
"4964","200.476000000","10.8.0.2","122.13.172.153","17","113"
"4965","200.486000000","10.8.0.2","103.97.83.153","6","68"
"4966","200.497000000","122.13.172.153","10.8.0.2","17","181"
"4967","200.517000000","10.8.0.2","183.236.60.120","6","114"
"4968","200.525000000","183.236.60.120","10.8.0.2","6","114"
"4969","200.527000000","10.8.0.2","183.236.60.120","6","68"
"4970","200.555000000","10.8.0.2","122.13.172.153","17","103"
"4971","200.581000000","122.13.172.153","10.8.0.2","17","174"
"4972","200.641000000","10.8.0.2","122.13.172.153","17","118"
"4973","200.662000000","122.13.172.153","10.8.0.2","17","172"
"4974","200.727000000","10.8.0.2","122.13.172.153","17","120"
"4975","200.736000000","122.13.172.153","10.8.0.2","17","171"
"4976","200.802000000","10.8.0.2","122.13.172.153","17","96"
"4977","200.820000000","122.13.172.153","10.8.0.2","17","210"
"4978","200.887000000","10.8.0.2","122.13.172.153","17","125"
